word,label
Naloxone,I-Entity
reverses,O
the,O
antihypertensive,O
effect,O
of,O
clonidine,I-Entity
.,O
In,O
unanesthetized,O
",",O
spontaneously,O
hypertensive,I-Entity
rats,O
the,O
decrease,O
in,O
blood,O
pressure,O
and,O
heart,O
rate,O
produced,O
by,O
intravenous,O
clonidine,I-Entity
",",O
5,O
to,O
20,O
micrograms,O
/,O
kg,O
",",O
was,O
inhibited,O
or,O
reversed,O
by,O
nalozone,I-Entity
",",O
0.2,O
to,O
2,O
mg,O
/,O
kg,O
.,O
The,O
hypotensive,I-Entity
effect,O
of,O
100,O
mg,O
/,O
kg,O
alpha,B-Entity
-,I-Entity
methyldopa,I-Entity
was,O
also,O
partially,O
reversed,O
by,O
naloxone,I-Entity
.,O
Naloxone,I-Entity
alone,O
did,O
not,O
affect,O
either,O
blood,O
pressure,O
or,O
heart,O
rate,O
.,O
In,O
brain,O
membranes,O
from,O
spontaneously,O
hypertensive,I-Entity
rats,O
clonidine,I-Entity
",",O
10(-8,O
),O
to,O
10(-5,O
),O
M,O
",",O
did,O
not,O
influence,O
stereoselective,O
binding,O
of,O
[,B-Entity
3H]-naloxone,I-Entity
(,O
8,O
nM,O
),O
",",O
and,O
naloxone,I-Entity
",",O
10(-8,O
),O
to,O
10(-4,O
),O
M,O
",",O
did,O
not,O
influence,O
clonidine,I-Entity
-,O
suppressible,O
binding,O
of,O
[,B-Entity
3H]-dihydroergocryptine,I-Entity
(,O
1,O
nM,O
),O
.,O
These,O
findings,O
indicate,O
that,O
in,O
spontaneously,O
hypertensive,I-Entity
rats,O
the,O
effects,O
of,O
central,O
alpha,O
-,O
adrenoceptor,O
stimulation,O
involve,O
activation,O
of,O
opiate,O
receptors,O
.,O
As,O
naloxone,I-Entity
and,O
clonidine,I-Entity
do,O
not,O
appear,O
to,O
interact,O
with,O
the,O
same,O
receptor,O
site,O
",",O
the,O
observed,O
functional,O
antagonism,O
suggests,O
the,O
release,O
of,O
an,O
endogenous,O
opiate,O
by,O
clonidine,I-Entity
or,O
alpha,B-Entity
-,I-Entity
methyldopa,I-Entity
and,O
the,O
possible,O
role,O
of,O
the,O
opiate,O
in,O
the,O
central,O
control,O
of,O
sympathetic,O
tone,O
.,O
Lidocaine,I-Entity
-,O
induced,O
cardiac,B-Entity
asystole,I-Entity
.,O
Intravenous,O
administration,O
of,O
a,O
single,O
50-mg,O
bolus,O
of,O
lidocaine,I-Entity
in,O
a,O
67-year,O
-,O
old,O
man,O
resulted,O
in,O
profound,O
depression,I-Entity
of,O
the,O
activity,O
of,O
the,O
sinoatrial,O
and,O
atrioventricular,O
nodal,O
pacemakers,O
.,O
The,O
patient,O
had,O
no,O
apparent,O
associated,O
conditions,O
which,O
might,O
have,O
predisposed,O
him,O
to,O
the,O
development,O
of,O
bradyarrhythmias,I-Entity
;,O
and,O
",",O
thus,O
",",O
this,O
probably,O
represented,O
a,O
true,O
idiosyncrasy,O
to,O
lidocaine,I-Entity
.,O
Suxamethonium,I-Entity
infusion,O
rate,O
and,O
observed,O
fasciculations,I-Entity
.,O
Suxamethonium,B-Entity
chloride,I-Entity
(,O
Sch,I-Entity
),O
was,O
administered,O
i.v,O
.,O
to,O
36,O
adult,O
males,O
at,O
six,O
rates,O
:,O
The,O
infusion,O
was,O
discontinued,O
either,O
when,O
there,O
was,O
no,O
muscular,O
response,O
to,O
tetanic,I-Entity
stimulation,O
of,O
the,O
ulnar,O
nerve,O
or,O
when,O
Sch,I-Entity
120,O
mg,O
was,O
exceeded,O
.,O
Fasciculations,I-Entity
