word,pos
Naloxone,PROPN
reverses,VERB
the,DET
antihypertensive,ADJ
effect,NOUN
of,ADP
clonidine,NOUN
.,PUNCT
In,ADP
unanesthetized,ADJ
",",PUNCT
spontaneously,ADV
hypertensive,ADJ
rats,NOUN
the,DET
decrease,NOUN
in,ADP
blood,NOUN
pressure,NOUN
and,CCONJ
heart,NOUN
rate,NOUN
produced,VERB
by,ADP
intravenous,ADJ
clonidine,NOUN
",",PUNCT
5,NUM
to,PART
20,NUM
micrograms,NOUN
/,SYM
kg,ADV
",",PUNCT
was,VERB
inhibited,VERB
or,CCONJ
reversed,VERB
by,ADP
nalozone,NOUN
",",PUNCT
0.2,NUM
to,PART
2,NUM
mg,PROPN
/,SYM
kg,PROPN
.,PUNCT
The,DET
hypotensive,ADJ
effect,NOUN
of,ADP
100,NUM
mg,PROPN
/,SYM
kg,ADV
alpha,NOUN
-,PUNCT
methyldopa,NOUN
was,VERB
also,ADV
partially,ADV
reversed,VERB
by,ADP
naloxone,NOUN
.,PUNCT
Naloxone,PROPN
alone,ADV
did,VERB
not,ADV
affect,VERB
either,DET
blood,NOUN
pressure,NOUN
or,CCONJ
heart,NOUN
rate,NOUN
.,PUNCT
In,ADP
brain,NOUN
membranes,NOUN
from,ADP
spontaneously,ADV
hypertensive,ADJ
rats,NOUN
clonidine,NOUN
",",PUNCT
10(-8,NUM
),PUNCT
to,ADP
10(-5,NUM
),PUNCT
M,PROPN
",",PUNCT
did,VERB
not,ADV
influence,VERB
stereoselective,ADJ
binding,NOUN
of,ADP
[,PUNCT
3H]-naloxone,NUM
(,PUNCT
8,NUM
nM,PROPN
),PUNCT
",",PUNCT
and,CCONJ
naloxone,NOUN
",",PUNCT
10(-8,NUM
),PUNCT
to,ADP
10(-4,NUM
),PUNCT
M,PROPN
",",PUNCT
did,VERB
not,ADV
influence,VERB
clonidine,NOUN
-,PUNCT
suppressible,ADJ
binding,NOUN
of,ADP
[,PUNCT
3H]-dihydroergocryptine,NUM
(,PUNCT
1,NUM
nM,NOUN
),PUNCT
.,PUNCT
These,DET
findings,NOUN
indicate,VERB
that,ADP
in,ADP
spontaneously,ADV
hypertensive,ADJ
rats,NOUN
the,DET
effects,NOUN
of,ADP
central,ADJ
alpha,NOUN
-,PUNCT
adrenoceptor,NOUN
stimulation,NOUN
involve,VERB
activation,NOUN
of,ADP
opiate,NOUN
receptors,NOUN
.,PUNCT
As,ADP
naloxone,NOUN
and,CCONJ
clonidine,NOUN
do,VERB
not,ADV
appear,VERB
to,PART
interact,VERB
with,ADP
the,DET
same,ADJ
receptor,NOUN
site,NOUN
",",PUNCT
the,DET
observed,VERB
functional,ADJ
antagonism,NOUN
suggests,VERB
the,DET
release,NOUN
of,ADP
an,DET
endogenous,ADJ
opiate,NOUN
by,ADP
clonidine,NOUN
or,CCONJ
alpha,NOUN
-,PUNCT
methyldopa,NOUN
and,CCONJ
the,DET
possible,ADJ
role,NOUN
of,ADP
the,DET
opiate,NOUN
in,ADP
the,DET
central,ADJ
control,NOUN
of,ADP
sympathetic,ADJ
tone,NOUN
.,PUNCT
Lidocaine,PROPN
-,PUNCT
induced,VERB
cardiac,ADJ
asystole,NOUN
.,PUNCT
Intravenous,ADJ
administration,NOUN
of,ADP
a,DET
single,ADJ
50-mg,NUM
bolus,NOUN
of,ADP
lidocaine,NOUN
in,ADP
a,DET
67-year,NUM
-,PUNCT
old,ADJ
man,NOUN
resulted,VERB
in,ADP
profound,ADJ
depression,NOUN
of,ADP
the,DET
activity,NOUN
of,ADP
the,DET
sinoatrial,ADJ
and,CCONJ
atrioventricular,ADJ
nodal,ADJ
pacemakers,NOUN
.,PUNCT
The,DET
patient,NOUN
